county_fips,capex_share_base,capex_share_post,capex_share_chg,ds_burden_base,ds_burden_post,ds_burden_chg,newdebt_share_base,newdebt_share_post,newdebt_share_chg,capex_level_cagr
01003,0.14517249262892293,,,0.1148470642048244,,,0.025723284355846594,,,
01005,0.1602019762171551,0.05623712482225688,-0.10396485139489822,0.01821361622097201,0.02137858158569261,0.0031649653647205997,0.0030934195440015166,0.0014862978810790603,-0.0016071216629224563,-0.11095700712747414
01007,0.24613357390772236,,,0.08473417491140785,,,0.010583666162294171,,,
01009,0.037247923241810685,0.16378112139712694,0.12653319815531627,0.0,0.051956032732319406,0.051956032732319406,0.0019048493064532583,0.0032834259777159962,0.001378576671262738,0.35033760686015536
01015,0.14311809593969557,0.14722465775978216,0.0041065618200865905,0.09900703052213926,0.04058360465781811,-0.05842342586432115,0.02971147751602994,,,0.011039107938212389
01019,,0.10930983238780471,,,0.04767408917341101,,,0.2603487155744923,,
01021,,0.1894509270348258,,,0.13974664535792758,,,0.28843194313127535,,
01025,,0.18747885235546216,,,0.035280244786771074,,,0.11325445576509502,,
01027,0.05098283903107335,,,0.07136423437677848,,,,,,
01029,,0.12381358122369383,,,0.01836179495179644,,,,,
01033,,0.11444889502471663,,,0.08930810923980093,,,0.08456608345440324,,
01041,0.13617362780564382,0.2492680661162936,0.11309443831064978,0.273893461196669,0.1787928356553737,-0.09510062554129531,0.13600813143957527,0.05672927462044685,-0.07927885681912841,0.22503210939748475
01043,0.0341837290693945,0.13684766093756312,0.10266393186816862,0.036097631858358556,0.024793668119568905,-0.011303963738789651,,,,0.3023250480386963
01045,0.06479421253065219,0.07985844131870144,0.01506422878804925,0.05703629408057659,0.025728327931443303,-0.03130796614913328,0.16571051392660724,,,0.09269880678885367
01047,0.04311705234851259,0.09241748228168438,0.04930042993317179,0.09967761925946435,0.05789679497783728,-0.04178082428162707,0.03570138958708283,0.0454648973927344,0.009763507805651571,0.15618211206903765
01053,0.0845810270704385,0.037766763915624134,-0.04681426315481437,0.06676456739611385,0.009720143391755922,-0.05704442400435793,0.06246152052533217,,,-0.09807765653219047
01055,0.10711436129062422,0.15057793687694584,0.04346357558632162,0.04768569390004501,0.06786067442293328,0.02017498052288827,0.36178592483064714,0.024489554531325564,-0.3372963702993216,
01057,0.10779164413047987,0.10388500760707736,-0.003906636523402507,0.00024329030937768055,0.0,-0.00024329030937768055,,,,-0.0014062516545916282
01059,0.04797636141002687,0.033060847339463,-0.014915514070563872,0.0923462255594058,0.07596207540173851,-0.016384150157667296,0.017352799429201447,,,-0.01697454173562918
01061,0.13895034586746696,0.08562460300107072,-0.05332574286639624,0.013301678205777072,0.13610680098294048,0.1228051227771634,0.0036362855985336137,0.06177057289015175,0.05813428729161813,
01067,,0.0792690118059389,,,0.055132156912454156,,,0.02737027003151467,,
01071,0.04924004093166595,0.10676883233753429,0.057528791405868335,0.05126705934506798,0.005917556753711435,-0.04534950259135654,0.041481426160891774,0.06992869683555127,0.02844727067465949,
01081,,0.12088349154837519,,,0.05684427105874604,,,,,
01087,0.07235846899897534,,,0.07506790223886949,,,0.044930656454333584,,,
01089,,0.10310623924995185,,,0.02777407225147712,,,,,
01091,,0.1428293772882449,,,0.1319890524464948,,,0.2780636825332657,,
01093,0.05372538393779845,,,0.02020925808792058,,,,,,
01097,,0.1880241928126149,,,0.05775655194662928,,,0.04878039600090882,,
01099,,0.041271525315886716,,,0.11972747121313267,,,0.08332200492934183,,
01101,0.05162742493273848,0.22248080016217314,0.17085337522943467,0.12188241198075003,0.09395329157546005,-0.027929120405289984,,,,0.35791190890214186
01103,0.2444818792780855,0.08533436745886742,-0.1591475118192181,0.06489947119473286,0.043648933873003344,-0.02125053732172951,0.07160019548853061,0.00571867544966215,-0.06588152003886846,-0.12855260647910316
01109,0.10253599447672271,0.07660607513087164,-0.025929919345851066,0.09096450367344995,0.171436536460509,0.08047203278705904,,0.017888036467143188,,0.06344391394792326
01113,0.04623994060020388,0.12417882067464912,0.07793888007444524,0.07415807802949084,0.04975490529047336,-0.02440317273901748,0.14529867240222874,0.03959942512976047,-0.10569924727246827,0.20768447487485142
01115,0.09104071217882673,0.247019227343057,0.15597851516423028,0.06878292482458681,0.07550643494355051,0.006723510118963702,0.11496917236724954,0.374714220207893,0.25974504784064345,0.2853826495548084
01117,0.10898210129113207,,,0.003439849615017709,0.0065364657112654025,0.0030966160962476934,,,,
01121,,0.04680073668772241,,,0.04601379041196777,,,,,
01123,,0.10699718538506713,,,0.03611641103346379,,,0.1147571249205249,,
01125,0.05631772886081498,0.11952629062953232,0.06320856176871734,0.0,0.0,0.0,,,,0.19829987479447686
01127,0.019343219205700233,,,0.08717897436302564,,,,,,
01129,0.16989891369304377,0.35992667843090925,0.19002776473786548,0.06909716459148942,0.06143270293240553,-0.007664461659083889,0.08332937274166392,0.06742550047232984,-0.015903872269334082,0.5317439277734377
01133,0.1553986480072537,0.30305794964432614,0.14765930163707244,0.12499293678277282,0.13010684613797271,0.005113909355199897,,0.06555462276262862,,0.18419589560472094
01209,,0.6513493809028784,,,0.0396568765182397,,,0.003129043706209762,,
02013,0.3158067951441515,0.15259564314446653,-0.16321115199968497,0.031324899908236996,0.1325093783825959,0.10118447847435891,0.009338545593843083,,,-0.12447214718291777
02020,0.10844827348265017,,,0.08115102971977638,,,,,,
02060,0.08855585254039218,0.101997955895221,0.013442103354828816,0.012967129195995769,0.0,-0.012967129195995769,,,,0.06380687725304268
02068,,,,,,,,,,
02100,0.13586944391297318,0.3408550625721829,0.20498561865920972,0.13753799464233843,0.07012219409930033,-0.0674158005430381,0.11737961145620943,,,0.2408140682976454
02110,0.13526718422553716,0.1885247443163845,0.05325756009084734,0.15759346289839185,0.06290846935196344,-0.09468499354642841,,0.0024116694150330136,,0.09932805422911906
02122,,,,0.04422537181177231,0.03749678462559974,-0.0067285871861725716,,,,
02150,,,,0.21871659116469036,0.2271961194145299,0.008479528249839552,0.005643719375839664,0.000393107438725871,-0.005250611937113793,
02164,,,,0.3329723826542063,0.14325055102132614,-0.18972183163288017,,,,
02170,0.29046165318980466,0.15449346874008793,-0.13596818444971673,0.0,0.13105712047145632,0.13105712047145632,0.022257961835317676,,,-0.1090177527535835
02185,0.210628925025324,0.19536193714445713,-0.015266987880866861,0.18671108286515534,0.12894816098084647,-0.05776292188430887,,,,-0.010088033651650008
02188,0.005900923008024854,0.12297416224673305,0.11707323923870819,0.19401904297437633,0.06464174987133595,-0.12937729310304039,,,,
02195,0.11634614153224329,0.014473194049762016,-0.10187294748248127,0.0,0.054023415466906956,0.054023415466906956,,0.24841686645715855,,-0.25159941697909416
02220,0.2932111101665894,0.0446615032006722,-0.2485496069659172,0.09087025186607521,0.053877062401486216,-0.036993189464588995,0.0004554300686048893,,,-0.28274866398590837
02275,0.08706109214551104,0.18410283802435173,0.0970417458788407,0.33575571620754846,0.011332513148089508,-0.32442320305945893,,0.2804595845977386,,0.20124355121029547
02282,0.18073854134170717,0.025804419876079527,-0.15493412146562763,0.0,0.0,0.0,,,,-0.25926132299043747
04001,0.04713197462974341,0.08374978962435413,0.03661781499461072,0.056617312183904665,0.027298060285288354,-0.02931925189861631,,,,0.12399587033991288
04003,0.046109871948956216,0.0578861823410421,0.011776310392085883,0.00972365701650125,0.0,-0.00972365701650125,,,,0.02342704447513322
04005,0.0359377390143584,0.049822328320898016,0.013884589306539616,0.000896904136072932,0.11698951520709958,0.11609261107102664,,,,0.19371902910589345
04007,,,,0.014742121040840515,0.023428534624216905,0.00868641358337639,0.0024619350586916754,0.0028232302318839334,0.00036129517319225804,
04009,0.12320824893480765,0.11404591962842764,-0.009162329306380015,0.01834270152915495,0.03749029117150495,0.019147589642350003,,,,0.043750396996771634
