county_fips,name,state,mw_latest,dc_share_mid,n_dc,n_crypto,first_op_year,n_oper_by_2022,dc_class,treated_by_2022,oil_confound,pt_2017,pt_2022,pt_2017_src,pt_2022_src,pt_growth_pct
21127,Lawrence County,KY,250.0,191.01466992665036,1,1,2024.0,0,crypto,False,False,0.966,1.069,census,census,10.662525879917183
41049,Morrow County,OR,1004.2,185.57120153749491,27,0,2011.0,15,clean_dc,True,False,7.554,11.489,census,census,52.091607095578496
48125,Dickens County,TX,180.0,181.12296236667336,1,1,2022.0,1,crypto,True,False,2.047,2.055,census,census,0.39081582804103565
32029,Storey County,NV,602.7096,176.0352824347217,33,0,2017.0,2,clean_dc,True,False,12.412,21.045,census,census,69.55365775056397
48331,Milam County,TX,1192.0,156.77197043427938,2,2,2019.0,2,crypto,True,False,13.411,5.789,census,census,-56.83394228618299
38021,Dickey County,ND,440.0,145.29124290054153,5,5,2023.0,0,crypto,False,False,3.816,3.896,census,census,2.0964360587002018
37069,Franklin County,NC,500.0,131.23359580052494,1,1,2017.0,1,crypto,True,False,16.713,22.722,census,census,35.95404774726261
13075,Cook County,GA,270.0,122.4600870827286,1,1,2019.0,1,crypto,True,False,4.452,5.143,census,census,15.521114106019773
48275,Knox County,TX,166.0,114.81532715451654,1,0,2025.0,0,clean_dc,False,False,1.697,2.083,TX_Comptroller,TX_Comptroller,22.746022392457288
41013,Crook County,OR,404.04,81.23366440146368,15,0,2011.0,12,clean_dc,True,False,7.874,13.34,census,census,69.41833883667768
48103,Crane County,TX,280.0,73.80851961197807,1,1,2023.0,0,crypto,False,True,9.016,9.826,census,census,8.98402839396628
40097,Mayes County,OK,329.775,55.519546112663726,14,0,2011.0,8,clean_dc,True,False,0.0,0.0,census,census,
53051,Pend Oreille County,WA,100.0,52.76487969607429,1,1,2024.0,0,crypto,False,False,3.91,4.631,census,census,18.439897698209727
13303,Washington County,GA,222.0,52.25004707211448,1,1,2022.0,1,crypto,True,False,8.641,9.248,census,census,7.0246499247772265
48475,Ward County,TX,423.0,51.25160539898708,5,4,2022.0,2,mixed,True,True,18.07,35.327,census,census,95.50083010514663
35061,Valencia County,NM,414.0,48.91535516801361,10,0,2018.0,5,clean_dc,True,False,13.189,18.665,census,census,41.5194480248692
51117,Mecklenburg County,VA,316.082,48.65045405571803,48,0,2012.0,15,clean_dc,True,False,29.706,97.91,census,census,229.59671446845755
48371,Pecos County,TX,497.0,47.20834362354908,4,3,2021.0,1,mixed,True,True,19.866,26.747,census,census,34.6370683579986
41059,Umatilla County,OR,795.4396,45.25354147939968,28,0,2012.0,10,clean_dc,True,False,15.0,20.051,census,census,33.67333333333333
21157,Marshall County,KY,195.0,43.10344827586207,4,3,2019.0,3,mixed,True,False,4.418,6.747,census,census,52.71616115889542
48173,Glasscock County,TX,200.0,37.642098923435974,2,2,2022.0,1,crypto,True,True,0.312,9.944,census,census,3087.1794871794878
13317,Wilkes County,GA,82.0,37.01029066618523,1,1,2022.0,1,crypto,True,False,4.434,4.849,census,census,9.359494812810109
48045,Briscoe County,TX,50.0,36.69455452810803,1,0,2025.0,0,clean_dc,False,False,1.109,2.698,TX_Comptroller,TX_Comptroller,143.28223624887286
53025,Grant County,WA,748.029885,36.11437782434051,37,2,2008.0,23,mixed,True,False,26.42,30.78,census,census,16.50264950794853
37039,Cherokee County,NC,134.0,34.48808359499665,3,2,2018.0,3,mixed,True,False,17.213,8.833,census,census,-48.68413408470342
47121,Meigs County,TN,20.0,27.647221454243848,1,1,2021.0,1,crypto,True,False,3.528,4.092,census,census,15.986394557823115
38093,Stutsman County,ND,138.0,26.83050122487071,3,3,2022.0,1,crypto,True,False,9.529,9.398,census,census,-1.3747507608353526
48075,Childress County,TX,45.0,26.533018867924525,2,2,2023.0,0,crypto,False,False,2.85,3.087,TX_Comptroller,TX_Comptroller,8.315789473684209
38105,Williams County,ND,480.0,26.3840640253287,6,1,2022.0,1,mixed,True,False,14.133,16.213,census,census,14.717328238873574
54047,McDowell County,WV,90.0,25.948564179448734,1,1,2021.0,1,crypto,True,False,4.404,4.017,census,census,-8.787465940054485
47151,Scott County,TN,40.0,25.451768897938408,2,2,2021.0,1,crypto,True,False,5.035,6.065,census,census,20.4568023833168
48349,Navarro County,TX,400.0,24.859543578779896,1,1,2025.0,0,crypto,False,False,20.553,26.008,census,census,26.54113754683014
