treated_fips,state,g,d_treated,d_ctrl_mean,n_ctrl,effect
01071,01,2019,-43.17562480811448,67.27630860130655,2,-110.45193340942103
01089,01,2021,-54.39552545743342,-63.13404191956652,2,8.738516462133099
04013,04,2001,236.1306450940724,174.76412643557146,1,61.36651865850095
13097,13,2003,226.99776722573955,136.56186629996085,2,90.4359009257787
13121,13,2001,225.08017930527674,224.52411716385086,1,0.5560621414258833
13145,13,2022,-47.350687915006645,-42.57799487616824,2,-4.772693038838405
13157,13,2022,-35.126061443603874,-51.52174671360213,2,16.395685269998253
13217,13,2021,-53.28607859375245,71.70799714064846,3,-124.99407573440091
13285,13,2022,109.20096197575069,-51.52174671360213,2,160.72270868935283
13303,13,2022,-76.6444932836819,-42.57799487616824,2,-34.066498407513656
13313,13,2018,117.48531814765374,3.5266164370997237,3,113.95870171055402
18127,18,2024,-38.200323717994735,-101.9032549872581,2,63.70293126926336
18141,18,2003,131.4714982486362,100.75218683717405,3,30.719311411462158
19049,19,2011,44.12043460065608,43.383569976202274,3,0.7368646244538084
19075,19,2017,-0.9655214899199649,-39.78109082393576,3,38.8155693340158
19153,19,2013,29.344823680949375,3.7358942648464386,3,25.608929416102935
19155,19,2009,111.1920353650625,71.48931763920928,3,39.70271772585322
19181,19,2023,-115.1431213867481,-54.872409204967575,3,-60.27071218178053
26027,26,2021,-59.893960025622505,17.339795878425946,3,-77.23375590404845
31019,31,2019,-7.653276192497472,0.5700825392838169,2,-8.223358731781289
31081,31,2011,52.96464159287112,-43.775015138341075,2,96.7396567312122
31153,31,2001,166.56992268295753,127.89429037137914,2,38.67563231157838
32031,32,2013,16.464430434846435,67.56704985713405,2,-51.10261942228762
36063,36,2021,-75.06081045593683,-66.46432876947303,3,-8.596481686463804
36089,36,2021,-3.721889359767644,-68.3588718585852,3,64.63698249881756
37035,37,2011,107.0594931986823,111.09955495553795,3,-4.04006175685565
37069,37,2017,249.72894794598267,4.971735286818112,3,244.75721265916457
37161,37,2011,288.59632890578354,147.9144048075128,3,140.68192409827074
38035,38,2021,-16.830427896076372,-68.34089961489981,3,51.51047171882344
38093,38,2022,-88.04026310510034,-99.50309251247157,2,11.462829407371231
39045,39,2024,0.5754904628105351,-58.26578699717934,2,58.841277459989875
39049,39,2001,237.33426904639117,200.0147249295947,2,37.319544116796465
39089,39,2016,73.90282007186906,19.40537947433916,3,54.4974405975299
39159,39,2023,-38.55319514176557,-33.63526242555676,2,-4.91793271620881
41013,41,2011,314.17229633199247,164.15695038734611,3,150.01534594464636
41049,41,2011,61.403346358856936,185.34396011088612,3,-123.94061375202918
41059,41,2012,102.1884745636838,136.78656479981603,3,-34.598090236132236
41065,41,2006,140.2734274530894,179.91407411538546,3,-39.640646662296064
41067,41,2002,160.4537001154353,176.63796901926958,3,-16.184268903834266
42007,42,2023,-6.460909564935761,-47.792687014914044,2,41.33177744997828
42079,42,2023,-23.18190147382589,-47.792687014914044,2,24.610785541088156
42121,42,2021,120.00875758593348,-27.389166538022124,2,147.3979241239556
45015,45,2008,208.1905331258106,127.73574403296793,1,80.45478909284266
45083,45,2022,-82.00833114447902,-124.28366783511076,3,42.27533669063175
45091,45,2014,51.12109688243385,-44.0458035947895,3,95.16690047722335
47013,47,2024,-43.51031861808696,-75.91463361917731,1,32.404315001090346
47105,47,2023,-55.67520552690029,-105.38998347625531,2,49.71477794935502
47125,47,2019,-27.291010727597296,2.923309451756443,3,-30.214320179353738
47165,47,2023,-95.67090459611582,-99.20618725421254,3,3.535282658096719
47173,47,2022,-63.78698148770379,-75.91463361917731,1,12.127652131473518
48135,48,2022,-68.06759562006188,-68.89313430234198,3,0.8255386822800972
48139,48,2019,-10.009419470517486,-6.962543680595043,3,-3.046875789922443
48221,48,2022,88.53031957873064,-59.700807581631615,3,148.23112716036226
48277,48,2025,-6.952686483305328,-63.45363755691204,3,56.500951073606714
48325,48,2022,-144.198830566618,-83.06970812323326,3,-61.129122443384745
48331,48,2019,-30.216389563366803,-25.444281310808634,2,-4.772108252558169
48349,48,2025,-62.24308234772029,6.9154075337389,2,-69.15848988145919
48355,48,2023,-113.36937258701903,-81.87425474777713,3,-31.4951178392419
48371,48,2021,-9.143352079373898,14.655448264759492,3,-23.79880034413339
48441,48,2022,-95.55502658467265,-60.17780314082446,3,-35.37722344384819
49035,49,2006,117.93167503170206,123.84706728811445,3,-5.915392256412389
49049,49,2013,34.858770094493195,93.66018118624936,3,-58.801411091756165
51047,51,2008,263.0373985858702,95.21256176664384,1,167.8248368192264
51061,51,2014,-120.1070584272574,-71.7336654417943,2,-48.3733929854631
51087,51,2010,64.97830164153464,75.6226581157322,2,-10.64435647419755
51153,51,2003,133.88022722034694,44.51366033352603,2,89.3665668868209
53017,53,2008,137.6401965737457,176.99044705837852,3,-39.350250484632824
53025,53,2008,182.20470295988798,178.94508833842474,3,3.2596146214632427
55101,55,2024,-92.97852357290816,-69.87133331426209,1,-23.10719025864607
