county_fips,is_treated,cagr,post_year,src,state_fips,pt_2017,pt_post
13099,0,0.05099431870600046,2024,acfr_allfunds,13,4380000.0,6204070.0
17037,1,0.01661148978068816,2024,acfr_allfunds,17,24072000.0,27014521.0
13217,1,0.08084121779087994,2023,acfr_allfunds,13,33011000.000000004,52629600.0
48015,0,0.0729605711098622,2022,verified,48,15277293.0,21725272.0
13157,1,0.08481528446874598,2024,verified,13,23333600.0,41254594.0
31169,0,3.018593465653474e-05,2023,verified,31,2782543.0,2783047.0
45083,1,0.07089278794179932,2023,verified,45,104284848.0,157288574.0
16001,1,0.053768969728289484,2023,acfr_allfunds,16,110576000.0,151402592.0
01071,1,0.031013734342905108,2022,acfr_allfunds,01,5685000.0,6622969.0
13317,1,-0.002012162926505412,2024,verified,13,4951787.0,4882460.0
39049,1,0.035093388243580215,2023,verified,39,432379000.0,531792000.0
41033,0,0.14463146198799137,2024,acfr_allfunds,41,5828000.0,15003041.0
38009,0,0.022636421661469397,2023,acfr_allfunds,38,3670000.0,4197528.0
13075,1,0.20519171877565157,2023,acfr_allfunds,13,4452000.0,13642438.0
48135,1,0.03707214428132222,2022,acfr_allfunds,48,46390000.0,55650519.0
48139,1,0.14643793848645115,2022,acfr_allfunds,48,35068000.0,69448640.0
39095,0,0.020966799665187663,2022,verified,39,108825000.0,120722098.0
47121,1,0.016044447889337787,2024,acfr_allfunds,47,3528000.0,3943824.0
38093,1,-0.007440079948714429,2024,acfr_allfunds,38,9529000.0,9043665.0
41049,1,0.08678447439028592,2024,verified,41,8703375.0,15584457.0
51013,0,0.034456274957651356,2024,verified,51,854042974.0,1082591699.0
13145,1,0.11963839307997048,2024,verified,13,8667509.0,19117838.0
53025,1,0.03562417640791482,2023,acfr_allfunds,53,26420000.0,32594618.0
04021,0,0.07106217660842162,2023,verified,04,88122000.0,133037000.0
37027,1,0.041993813368368604,2023,verified,37,46110069.0,59018289.0
39089,1,0.056197219919559505,2023,acfr_allfunds,39,27107000.0,37631504.0
