county_fips,prop_tax_2017,capex_2017,lt_debt_2017,exp_curr_2017,n_dc_2017,first_dc_year,is_dc_host,dc_intensity,dc_per_capex,dc_per_debt
47131,18.247,2.417,28.267999999999997,67.325,0,,0,0.0,0.0,0.0
47133,8.079,2.073,23.922,43.283,0,,0,0.0,0.0,0.0
47135,4.523,0.059,9.346,16.907,0,,0,0.0,0.0,0.0
47137,2.722,0.129,2.006,9.592,0,,0,0.0,0.0,0.0
47139,8.503,0.528,35.34,28.547,0,,0,0.0,0.0,0.0
47141,55.041,6.231,236.675,406.79099999999994,0,,0,0.0,0.0,0.0
47143,16.396,4.776,59.156,81.963,0,,0,0.0,0.0,0.0
47145,29.455,4.122999999999999,97.292,79.28399999999999,0,,0,0.0,0.0,0.0
47147,44.544,13.033,162.923,134.119,0,,0,0.0,0.0,0.0
47149,211.38,165.911,932.686,607.513,1,2015.0,1,0.0047308165389346206,0.00602732790472,0.0010721721994326064
47151,7.858,0.579,62.497,46.43799999999999,0,2021.0,0,0.0,0.0,0.0
47153,5.881,0.657,27.477,24.028,0,,0,0.0,0.0,0.0
47155,103.535,26.614,596.967,274.594,0,,0,0.0,0.0,0.0
47157,921.418,112.014,3546.593,2559.0910000000003,5,2000.0,1,0.005426418845735594,0.04463727748317175,0.0014098037186674648
47159,7.090999999999999,3.74,36.366,36.426999999999985,0,,0,0.0,0.0,0.0
47161,5.959,1.785,32.439,25.215000000000003,0,,0,0.0,0.0,0.0
47163,129.542,32.797,263.14,304.037,0,,0,0.0,0.0,0.0
47165,121.848,11.928,377.1749999999999,359.865,0,2023.0,0,0.0,0.0,0.0
47167,23.105,3.737,48.174,120.426,0,,0,0.0,0.0,0.0
47169,3.819,2.974,0.0,16.553,0,,0,0.0,0.0,
47171,8.025,3.3209999999999997,34.771,30.885,0,,0,0.0,0.0,0.0
47173,4.738,0.095,20.007,38.111,0,2022.0,0,0.0,0.0,0.0
47175,2.098,0.574,4.8740000000000006,11.467,0,,0,0.0,0.0,0.0
47177,17.811,1.531,44.205,75.357,1,2015.0,1,0.05614507888383583,0.6531678641410843,0.022621875353466804
47179,98.0,13.158,443.97,247.201,0,2023.0,0,0.0,0.0,0.0
47181,5.686999999999999,0.514,30.148999999999997,29.795,0,,0,0.0,0.0,0.0
47183,11.598,6.578,15.008,52.85699999999999,0,,0,0.0,0.0,0.0
47185,8.239,1.4639999999999995,22.585,43.69899999999999,0,,0,0.0,0.0,0.0
47187,315.21000000000004,63.49,929.734,745.68,6,2006.0,1,0.01903492909488912,0.09450307134981886,0.00645345873120699
47189,73.096,128.471,580.273,259.828,0,,0,0.0,0.0,0.0
48001,56.437,1.969,120.661,106.261,0,,0,0.0,0.0,0.0
48003,85.457,15.631,146.31900000000002,108.831,0,2022.0,0,0.0,0.0,0.0
48005,85.525,9.076,202.038,248.822,0,,0,0.0,0.0,0.0
48007,52.001000000000005,1.413,98.439,51.155,0,,0,0.0,0.0,0.0
48009,14.391,5.41,42.861,20.433000000000003,0,,0,0.0,0.0,0.0
48011,3.843,0.187,5.757,7.655,0,,0,0.0,0.0,0.0
48013,67.54400000000001,81.12199999999999,431.08,140.557,0,,0,0.0,0.0,0.0
48015,48.328,16.556,98.662,65.66000000000001,0,,0,0.0,0.0,0.0
48017,8.919,0.366,42.069,23.235999999999997,0,,0,0.0,0.0,0.0
48019,34.922,0.558,30.955,35.784000000000006,0,,0,0.0,0.0,0.0
48021,117.561,3.736,372.812,202.211,0,,0,0.0,0.0,0.0
48023,7.57,3.0069999999999997,4.373,36.851,0,,0,0.0,0.0,0.0
48025,36.663,15.61,84.119,82.85799999999999,0,,0,0.0,0.0,0.0
48027,369.1799999999999,160.78199999999998,1380.303,907.944,0,2018.0,0,0.0,0.0,0.0
48029,3226.724,777.5350000000001,20120.816,6221.829000000001,10,2000.0,1,0.003099118486737632,0.012861157375552225,0.0004969977360759127
48031,24.364,1.1780000000000002,26.932,24.715,0,,0,0.0,0.0,0.0
48033,9.831,0.079,19.388,6.279999999999999,0,,0,0.0,0.0,0.0
48035,42.025,6.272,59.044,53.493,0,2026.0,0,0.0,0.0,0.0
48037,108.133,24.999,253.444,233.45,0,,0,0.0,0.0,0.0
48039,682.925,234.58200000000005,2790.268,961.3130000000002,0,2025.0,0,0.0,0.0,0.0
48041,346.311,151.45600000000002,1427.3090000000002,490.0729999999999,0,,0,0.0,0.0,0.0
48043,12.351,1.5259999999999998,18.16,25.518,0,,0,0.0,0.0,0.0
48045,6.813,0.724,8.414,4.635000000000001,0,2025.0,0,0.0,0.0,0.0
48047,13.104,0.307,35.792,22.302999999999997,0,,0,0.0,0.0,0.0
48049,49.308,0.644,131.776,98.34199999999998,0,,0,0.0,0.0,0.0
48051,25.986,6.136,37.984,32.508,0,,0,0.0,0.0,0.0
48053,105.735,10.675,225.644,102.58900000000004,0,,0,0.0,0.0,0.0
48055,39.72,23.265,117.606,85.26800000000001,0,2027.0,0,0.0,0.0,0.0
48057,66.357,27.546,76.057,82.18999999999998,0,,0,0.0,0.0,0.0
48059,18.623,8.476,37.238,30.809,0,,0,0.0,0.0,0.0
48061,394.859,47.891,1379.168,1276.0270000000005,0,,0,0.0,0.0,0.0
48063,13.193,6.044,52.422,28.977000000000004,0,,0,0.0,0.0,0.0
48065,22.518,1.4980000000000002,31.195,21.115,0,2034.0,0,0.0,0.0,0.0
48067,43.07,4.960999999999999,40.616,63.944,0,2022.0,0,0.0,0.0,0.0
48069,9.544,3.923,28.749,20.667999999999996,0,,0,0.0,0.0,0.0
48071,131.4,29.198,365.277,138.46300000000002,0,,0,0.0,0.0,0.0
48073,41.251,8.218,137.046,113.14,0,,0,0.0,0.0,0.0
48075,8.48,3.3360000000000003,2.0629999999999997,44.565999999999995,0,2023.0,0,0.0,0.0,0.0
48077,14.574,0.994,22.451,33.407,0,,0,0.0,0.0,0.0
48079,13.011,1.6909999999999998,13.619,19.058000000000003,0,,0,0.0,0.0,0.0
48081,7.413,0.073,8.22,8.815,0,,0,0.0,0.0,0.0
48083,8.163,0.302,15.192,19.9,0,,0,0.0,0.0,0.0
48085,2509.07,737.539,17240.447,2553.91,14,2011.0,1,0.00557975664289956,0.018982047051071198,0.0008120439104624144
48087,5.705,0.004,10.448,12.276000000000002,0,,0,0.0,0.0,0.0
48089,39.151,4.055,56.398,52.717000000000006,0,,0,0.0,0.0,0.0
48091,323.477,144.35299999999998,944.491,319.7950000000001,0,,0,0.0,0.0,0.0
48093,18.314,3.3160000000000007,35.22,33.489000000000004,0,,0,0.0,0.0,0.0
48095,6.3870000000000005,0.365,4.035,17.106,0,,0,0.0,0.0,0.0
48097,69.553,20.675,191.571,171.40900000000002,0,,0,0.0,0.0,0.0
48099,57.333,9.498,125.516,168.77899999999997,0,,0,0.0,0.0,0.0
48101,2.667,0.0,1.272,2.9290000000000003,0,,0,0.0,,0.0
48103,18.968,1.413,6.023,20.995,0,2023.0,0,0.0,0.0,0.0
48105,27.5,7.137,5.6370000000000005,15.153999999999998,0,,0,0.0,0.0,0.0
48107,8.015,0.764,6.066,19.393,0,,0,0.0,0.0,0.0
48109,18.213,2.842,35.805,6.47,0,2024.0,0,0.0,0.0,0.0
48111,18.34,0.356,19.148,19.77,0,,0,0.0,0.0,0.0
48113,5647.648,1292.683,25990.055,9024.638,48,2000.0,1,0.008499113259183292,0.03713207336988264,0.0018468602702072004
48115,32.417,2.205,178.20800000000003,37.476000000000006,0,,0,0.0,0.0,0.0
48117,28.141,0.843,34.002,98.957,0,,0,0.0,0.0,0.0
48119,5.525,0.432,17.028000000000002,11.037999999999997,0,,0,0.0,0.0,0.0
48121,1475.897,273.377,5893.296,1556.493,4,2000.0,1,0.002710216227826197,0.014631808820785948,0.00067873733136771
48123,101.604,45.937000000000005,139.792,98.615,0,,0,0.0,0.0,0.0
48125,4.969,0.318,4.672,7.491,0,2022.0,0,0.0,0.0,0.0
48127,49.447,3.023,48.701,28.414999999999996,0,,0,0.0,0.0,0.0
48129,4.866,0.107,102.507,15.775999999999998,0,,0,0.0,0.0,0.0
48131,22.728,3.3610000000000007,64.764,68.339,0,,0,0.0,0.0,0.0
48133,27.232,3.844,68.98599999999999,71.338,0,,0,0.0,0.0,0.0
48135,250.919,68.95,439.174,730.0659999999999,0,2022.0,0,0.0,0.0,0.0
48137,8.58,0.0,3.972,8.425,0,,0,0.0,,0.0
48139,272.332,91.174,1214.721,375.5679999999999,0,2019.0,0,0.0,0.0,0.0
48141,1038.55,254.596,5154.106,2790.9849999999997,0,2026.0,0,0.0,0.0,0.0
48143,46.339,3.625,64.439,72.59199999999998,0,,0,0.0,0.0,0.0
48145,17.152,1.597,18.192,31.971,0,,0,0.0,0.0,0.0
48147,39.190000000000005,7.678999999999999,76.888,65.243,0,,0,0.0,0.0,0.0
48149,42.64,6.347,72.50399999999999,57.394000000000005,0,,0,0.0,0.0,0.0
48151,5.162,0.129,9.836,15.731,0,,0,0.0,0.0,0.0
48153,8.962,0.255,7.666,18.639,0,,0,0.0,0.0,0.0
48155,4.336,0.106,0.159,3.503000000000001,0,,0,0.0,0.0,0.0
48157,1235.0,463.6470000000001,5481.234,1263.966,0,,0,0.0,0.0,0.0
48159,18.908,0.6619999999999999,39.367,20.694,0,,0,0.0,0.0,0.0
48161,49.3,0.744,48.226,51.147,0,,0,0.0,0.0,0.0
48163,36.97,15.492,62.613,47.776,0,,0,0.0,0.0,0.0
48165,76.813,18.932,105.396,98.399,0,,0,0.0,0.0,0.0
48167,850.698,158.079,2475.158,1109.881,0,2024.0,0,0.0,0.0,0.0
48169,9.991,11.845,38.726,16.179,0,,0,0.0,0.0,0.0
48171,52.482,14.607,36.622,65.71700000000001,0,,0,0.0,0.0,0.0
48173,26.566,5.406,15.404,5.811,0,2022.0,0,0.0,0.0,0.0
48175,11.182,0.578,11.826,15.628,0,,0,0.0,0.0,0.0
48177,47.498,25.347,52.622,97.453,0,,0,0.0,0.0,0.0
48179,30.655,1.7049999999999998,68.541,53.45499999999999,0,,0,0.0,0.0,0.0
48181,192.4,32.244,832.2719999999999,328.695,0,,0,0.0,0.0,0.0
48183,201.278,44.48100000000001,533.79,404.383,0,,0,0.0,0.0,0.0
48185,49.970000000000006,0.377,78.618,51.434000000000005,0,,0,0.0,0.0,0.0
48187,209.109,119.102,1092.62,382.666,0,,0,0.0,0.0,0.0
48189,43.912,1.2140000000000002,42.345,95.449,0,,0,0.0,0.0,0.0
48191,6.484,0.298,3.989,10.930000000000003,0,,0,0.0,0.0,0.0
48193,12.82,1.406,20.439,39.301,0,,0,0.0,0.0,0.0
48195,14.93,1.4580000000000002,20.461,45.58800000000001,0,,0,0.0,0.0,0.0
48197,10.021,1.463,6.146,14.171,0,,0,0.0,0.0,0.0
48199,62.492,7.233999999999998,106.093,111.175,0,,0,0.0,0.0,0.0
48201,10721.714,2881.968,40908.216,14220.688000000002,9,2010.0,1,0.0008394180258865327,0.0031228660415382825,0.0002200047051672945
48203,115.429,92.80100000000002,234.335,139.635,0,,0,0.0,0.0,0.0
48205,6.788,0.4449999999999999,7.251,5.2669999999999995,0,,0,0.0,0.0,0.0
48207,10.399,0.7100000000000001,8.138,22.937,0,,0,0.0,0.0,0.0
48209,362.409,103.601,1895.943,478.756,0,,0,0.0,0.0,0.0
48211,29.822000000000003,9.494,25.069000000000003,17.494999999999997,0,,0,0.0,0.0,0.0
48213,116.368,35.494,179.862,157.973,0,,0,0.0,0.0,0.0
48215,824.133,281.707,2931.6,2610.232,1,2011.0,1,0.0012133963814093113,0.003549787545215419,0.0003411106562969027
48217,64.024,6.001999999999999,115.635,107.956,0,,0,0.0,0.0,0.0
48219,56.185,13.875,102.396,121.42,0,,0,0.0,0.0,0.0
