county_fips,role,status,tier,baseline,baseline_fy,base_src,post,post_fy,post_src,cagr,hirisk,v2_2017
01003,control,USABLE,PRIMARY,36550384.0,2017.0,VERIFIED,59076032.0,2023.0,verified,0.0833111891251681,False,
01009,control,SINGLE_census_nopost,,5974000.0,,,,,,,,
01023,control,SINGLE_census_hirisk_nopost,,1855000.0,,,,,,,,
01061,control,SINGLE_census_nopost,,5423000.0,,,,,,,,
01065,control,SINGLE_census_hirisk_nopost,,1948000.0,,,,,,,,
01071,treated,USABLE,CENSUS_TRUST,5685000.0,2017.0,SINGLE_census,6622969.0,2022.0,acfr_wide,0.031013734342905108,False,
01075,treated,USABLE,PRIMARY,1903000.0,2017.0,VERIFIED,2403000.0,2022.0,verified,0.04776285163889282,True,
01079,control,SINGLE_census_hirisk_nopost,,1844000.0,,,,,,,,
01089,treated,USABLE,CENSUS_TRUST,48580000.0,2017.0,SINGLE_census,94586462.0,2024.0,acfr_wide,0.09986347895383774,False,
01113,control,USABLE,CENSUS_TRUST,5607000.0,2017.0,SINGLE_census,7989816.0,2020.0,verified,0.12530109276587797,False,
01117,control,SINGLE_census_nopost,,26943000.0,,,,,,,,
01125,control,SINGLE_census_nopost,,29542000.0,,,,,,,,
04013,treated,USABLE,CENSUS_TRUST,592884000.0,2017.0,SINGLE_census,759909013.0,2023.0,acfr_wide,0.04223417795835216,False,
04015,control,SINGLE_census_nopost,,51604000.0,,,,,,,,
04021,control,USABLE,PRIMARY,88122000.0,2017.0,VERIFIED,133037000.0,2023.0,verified,0.07106217660842162,False,
04025,control,USABLE,CENSUS_TRUST,54756000.0,2017.0,SINGLE_census,73187972.0,2024.0,v2,0.04232017174528857,False,
08081,control,SINGLE_census_nopost,,10566000.0,,,,,,,,
08083,control,SINGLE_census_nopost,,13343000.0,,,,,,,,
08085,treated,USABLE,PRIMARY,13664000.0,2017.0,VERIFIED,20416162.0,2024.0,verified,0.05904338035794443,False,
08087,control,SINGLE_census_nopost,,16626999.999999998,,,,,,,,
13013,control,SINGLE_census_nopost,,22493000.0,,,,,,,,
13031,control,SINGLE_census_nopost,,23376000.0,,,,,,,,
13033,control,SINGLE_census_nopost,,25042000.0,,,,,,,,
13051,control,USABLE,PRIMARY,161352079.0,2017.0,VERIFIED,244682659.0,2024.0,verified,0.06128655123453375,False,
13073,control,CONFLICT,,39382000.0,,,,,,,,49845541.0
13075,treated,USABLE,CENSUS_TRUST,4452000.0,2017.0,SINGLE_census,13642438.0,2023.0,acfr_wide,0.20519171877565157,False,
13095,control,USABLE,PRIMARY,32043258.0,2017.0,VERIFIED,38330176.0,2022.0,verified,0.036479768586712424,False,
