treated_fips,treated_state,pt_2017_treated,control_fips,pt_2017_control,ratio,band_status,control_post_covered,treated_post_covered
21127,21,0.966,21137,0.97,1.0041407867494825,OK,False,False
21127,21,0.966,21069,1.007,1.0424430641821945,OK,False,False
21127,21,0.966,21097,1.007,1.0424430641821945,OK,False,False
21145,21,4.322,21107,4.335,1.0030078667283664,OK,False,False
21145,21,4.322,21179,4.205,0.9729291994447016,OK,False,False
21145,21,4.322,21089,4.471,1.0344747801943546,OK,False,False
21157,21,4.418,21089,4.471,1.011996378451788,OK,False,True
21157,21,4.418,21107,4.335,0.9812132186509732,OK,False,True
21157,21,4.418,21019,4.547,1.0291987324581258,OK,True,True
21195,21,8.664,21059,9.793,1.130309325946445,OK,False,False
21195,21,8.664,21093,7.473,0.8625346260387812,OK,False,False
21195,21,8.664,21037,10.185,1.1755540166204987,OK,False,False
21225,21,0.883,21205,0.885,1.0022650056625142,OK,False,False
21225,21,0.883,21085,0.89,1.0079275198187996,OK,False,False
21225,21,0.883,21115,0.893,1.0113250283125708,OK,False,False
26027,26,13.717,26087,13.725,1.0005832179047895,OK,False,False
26027,26,13.717,26105,13.593,0.9909601224757599,OK,True,False
26027,26,13.717,26009,13.157,0.9591747466647226,OK,False,False
28089,28,46.202,28047,58.102,1.257564607592745,OK,True,False
28089,28,46.202,28033,61.75,1.3365222284749578,OK,False,False
28089,28,46.202,28035,30.117,0.6518548980563612,OK,True,False
29047,29,8.921,29215,8.973,1.0058289429436162,OK,True,True
29047,29,8.921,29031,9.665,1.0833987221163546,OK,False,True
29047,29,8.921,29099,10.531,1.180473041138886,OK,True,True
30003,30,9.91,30041,9.797,0.9885973763874875,OK,False,False
30003,30,9.91,30035,9.623,0.9710393541876892,OK,False,False
30003,30,9.91,30087,8.897,0.8977800201816347,OK,False,False
31019,31,15.472,31025,14.181,0.9165589451913133,OK,False,True
31019,31,15.472,31111,13.7,0.8854705274043433,OK,True,True
31019,31,15.472,31169,18.913,1.222401758014478,OK,False,True
31081,31,3.652,31127,3.666,1.0038335158817087,OK,False,False
31081,31,3.652,31139,3.672,1.0054764512595837,OK,False,False
31081,31,3.652,31023,3.7,1.013143483023001,OK,False,False
31153,31,38.999,31169,18.913,0.4849611528500731,FALLBACK,False,True
31153,31,38.999,31025,14.181,0.3636247083258545,FALLBACK,False,True
31153,31,38.999,31111,13.7,0.351291058745096,FALLBACK,True,True
32003,32,660.79,32005,36.091,0.05461795729354258,FALLBACK,False,False
32003,32,660.79,32015,31.019,0.046942296342256995,FALLBACK,False,False
32003,32,660.79,32023,22.908,0.034667594848590326,FALLBACK,False,False
32029,32,12.412,32011,11.631,0.9370770222365452,OK,True,True
32029,32,12.412,32013,14.501,1.1683048662584594,OK,True,True
32029,32,12.412,32007,15.783,1.2715920077344505,OK,True,True
32031,32,190.723,32005,36.091,0.18923255192084856,FALLBACK,False,True
32031,32,190.723,32015,31.019,0.16263901050214183,FALLBACK,False,True
32031,32,190.723,32023,22.908,0.12011136569789695,FALLBACK,False,True
35061,35,13.189,35055,11.771,0.8924861627113504,OK,True,True
35061,35,13.189,35039,11.755,0.8912730305557662,OK,True,True
35061,35,13.189,35027,11.063,0.8388050648267497,OK,True,True
36063,36,86.278,36111,79.993,0.927154083312084,OK,True,True
36063,36,86.278,36007,74.915,0.8682978279515056,OK,True,True
36063,36,86.278,36093,73.022,0.8463571246435939,OK,False,True
36089,36,48.809,36075,50.77,1.040177016533836,OK,True,True
36089,36,48.809,36079,44.49,0.9115122211067632,OK,True,True
36089,36,48.809,36109,44.271,0.9070253436866152,OK,True,True
37027,37,46.11,37087,47.693,1.0343309477336804,OK,True,True
37027,37,46.11,37105,44.531,0.9657558013446107,OK,True,True
37027,37,46.11,37023,48.236,1.0461071351116893,OK,True,True
37035,37,102.448,37133,93.509,0.9127459784476027,OK,True,True
37035,37,102.448,37147,91.415,0.8923063407777605,OK,True,True
37035,37,102.448,37019,119.82,1.169568952053725,OK,True,True
37039,37,17.213,37009,17.487,1.0159182013594374,OK,True,True
37039,37,17.213,37011,16.852,0.9790274792308139,OK,True,True
37039,37,17.213,37149,16.687,0.9694417010399117,OK,True,True
37069,37,16.713,37149,16.687,0.9984443247771196,OK,True,True
37069,37,16.713,37011,16.852,1.0083168790761683,OK,True,True
37069,37,16.713,37009,17.487,1.0463112547119007,OK,True,True
37161,37,41.523,37193,40.105,0.9658502516677503,OK,True,True
37161,37,41.523,37077,39.426,0.949497868651109,OK,True,True
37161,37,41.523,37105,44.531,1.0724417792548706,OK,True,True
38021,38,3.816,38009,3.67,0.9617400419287212,OK,True,True
38021,38,3.816,38061,4.122,1.080188679245283,OK,True,True
38021,38,3.816,38067,4.453,1.1669287211740043,OK,True,True
38035,38,22.383,38015,20.521,0.9168118661484163,OK,True,True
38035,38,22.383,38101,20.357,0.9094848769155163,OK,False,True
38035,38,22.383,38089,16.379,0.7317607112540768,OK,False,True
38093,38,9.529,38077,8.476,0.8894952251023194,OK,True,True
38093,38,9.529,38083,11.231,1.1786126561024242,OK,False,True
38093,38,9.529,38053,7.631,0.800818553888131,OK,False,True
38105,38,14.133,38059,14.512,1.026816670204486,OK,True,False
38105,38,14.133,38089,16.379,1.158918842425529,OK,False,False
38105,38,14.133,38083,11.231,0.7946649685134084,OK,False,False
39045,39,27.079,39133,26.893,0.9931312086856974,OK,True,True
39045,39,27.079,39103,30.476,1.1254477639499243,OK,False,True
39045,39,27.079,39055,31.163,1.150817977030171,OK,True,True
39049,39,416.877,39095,98.365,0.23595688896245173,FALLBACK,True,True
39049,39,416.877,39093,49.738,0.11931097182142454,FALLBACK,False,True
39049,39,416.877,39085,48.083,0.1153409758753781,FALLBACK,False,True
39063,39,11.872,39141,11.5,0.9686657681940701,OK,False,True
39063,39,11.872,39003,11.468,0.9659703504043127,OK,False,True
39063,39,11.872,39157,11.049,0.9306772237196765,OK,False,True
39089,39,27.107,39133,26.893,0.9921053602390527,OK,True,True
39089,39,27.107,39103,30.476,1.1242852399749141,OK,False,True
39089,39,27.107,39055,31.163,1.1496292470579554,OK,True,True
39111,39,2.673,39101,2.773,1.0374111485222597,OK,False,True
39111,39,2.673,39163,2.553,0.9551066217732884,OK,False,True
39111,39,2.673,39107,2.373,0.8877665544332212,OK,True,True
39159,39,16.633,39013,16.573,0.9963927132808273,OK,False,True
39159,39,16.633,39083,16.52,0.9932062766788914,OK,False,True
39159,39,16.633,39007,16.376,0.984548788552877,OK,True,True
40101,40,6.907,40035,7.63,1.1046764152309252,OK,False,True
40101,40,6.907,40147,6.021,0.8717243376284928,OK,False,True
40101,40,6.907,40085,8.541,1.236571594035037,OK,False,True
41013,41,7.874,41031,7.49,0.951231902463805,OK,True,True
41013,41,7.874,41019,10.002,1.2702565405130812,OK,True,True
41013,41,7.874,41011,10.557,1.340741681483363,OK,True,True
41049,41,7.554,41031,7.49,0.9915276674609478,OK,True,True
41049,41,7.554,41033,5.828,0.7715117818374372,OK,True,True
41049,41,7.554,41045,5.769,0.7637013502779983,OK,True,True
41059,41,15.0,41057,14.869,0.9912666666666666,OK,True,True
41059,41,15.0,41053,14.008,0.9338666666666666,OK,True,True
41059,41,15.0,41035,12.918,0.8612,OK,True,True
41065,41,11.845,41009,12.509,1.0560574081891092,OK,True,True
41065,41,11.845,41007,12.664,1.0691430983537358,OK,True,True
41065,41,11.845,41035,12.918,1.0905867454622202,OK,True,True
41067,41,199.849,41047,68.203,0.34127266085894853,FALLBACK,False,False
41067,41,199.849,41043,33.842,0.169337850076808,FALLBACK,True,False
41067,41,199.849,41003,26.936,0.13478176022897287,FALLBACK,False,False
42007,42,48.172,42089,46.528,0.9658722909574027,OK,False,True
42007,42,48.172,42021,43.536,0.903761521215644,OK,False,True
42007,42,48.172,42055,39.173,0.8131902349912813,OK,True,True
42079,42,117.001,42069,80.162,0.6851394432526218,OK,False,False
42079,42,117.001,42045,171.942,1.4695771831009992,OK,False,False
42079,42,117.001,42049,73.241,0.625986102682883,OK,False,False
42121,42,11.497,42015,11.468,0.9974776028529182,OK,False,True
42121,42,11.497,42083,11.031,0.9594676872227538,OK,False,True
42121,42,11.497,42035,12.184,1.0597547186222491,OK,True,True
45015,45,28.773,45077,29.521,1.0259965940291245,OK,True,True
45015,45,28.773,45057,29.695,1.0320439300733326,OK,True,True
45015,45,28.773,45039,26.262,0.9127306850172037,OK,True,True
45083,45,104.285,45013,97.751,0.9373447763340845,FALLBACK,True,False
45083,45,104.285,45063,112.7,1.0806923335091336,FALLBACK,True,False
45083,45,104.285,45043,51.898,0.49765546339358496,FALLBACK,False,False
45087,45,12.225,45081,11.88,0.9717791411042945,OK,False,True
45087,45,12.225,45021,11.807,0.9658077709611452,OK,False,True
45087,45,12.225,45033,11.055,0.9042944785276074,OK,True,True
45091,45,97.44,45013,97.751,1.0031917077175698,OK,True,True
45091,45,97.44,45063,112.7,1.156609195402299,OK,True,True
45091,45,97.44,45043,51.898,0.5326149425287356,OK,False,True
46119,46,2.335,46057,2.319,0.9931477516059957,OK,False,False
46119,46,2.335,46077,2.289,0.9802997858672378,OK,False,False
46119,46,2.335,46085,2.26,0.9678800856531048,OK,False,False
47013,47,13.587,47003,13.822,1.017295944652977,OK,False,False
47013,47,13.587,47143,14.229,1.0472510487966438,OK,False,False
47013,47,13.587,47019,14.568,1.0722013689556193,OK,False,False
47025,47,13.729,47003,13.822,1.0067739820817247,OK,False,False
47025,47,13.729,47143,14.229,1.036419258503897,OK,False,False
47025,47,13.729,47019,14.568,1.061111515769539,OK,False,False
47035,47,20.488,47051,20.492,1.0001952362358455,OK,False,True
47035,47,20.488,47021,22.067,1.077069504099961,OK,False,True
47035,47,20.488,47123,18.823,0.9187329168293635,OK,False,True
47105,47,27.841,47043,28.01,1.0060701842606228,OK,False,False
47105,47,27.841,47001,31.485,1.1308861032290507,OK,False,False
47105,47,27.841,47031,23.592,0.8473833554829208,OK,False,False
47107,47,10.988,47055,10.608,0.965416818347288,OK,False,False
47107,47,10.988,47097,10.479,0.9536767382599198,OK,False,False
47107,47,10.988,47047,10.19,0.9273753185293047,OK,False,False
47113,47,48.483,47009,51.198,1.055999009962255,OK,False,False
47113,47,48.483,47189,53.114,1.0955180166243839,OK,False,False
47113,47,48.483,47141,43.747,0.9023162758080152,OK,False,False
47121,47,3.528,47039,3.562,1.0096371882086168,OK,False,True
47121,47,3.528,47091,3.627,1.0280612244897958,OK,False,True
47121,47,3.528,47015,3.724,1.0555555555555556,OK,False,True
47125,47,114.851,47155,96.703,0.8419865739088036,FALLBACK,False,False
47125,47,114.851,47163,56.378,0.4908794873357655,FALLBACK,False,False
47125,47,114.851,47189,53.114,0.46246005694334397,FALLBACK,False,False
47151,47,5.035,47153,4.918,0.9767626613704071,OK,False,True
47151,47,5.035,47033,4.717,0.9368421052631578,OK,False,True
47151,47,5.035,47161,5.467,1.0857994041708043,OK,False,True
47165,47,85.643,47155,96.703,1.1291407353782563,OK,False,True
47165,47,85.643,47163,56.378,0.658290811858529,OK,False,True
47165,47,85.643,47189,53.114,0.6201791156311666,OK,False,True
47173,47,4.738,47033,4.717,0.9955677501055296,OK,False,False
47173,47,4.738,47061,4.604,0.9717180244829041,OK,False,False
47173,47,4.738,47087,4.588,0.9683410721823553,OK,False,False
48003,48,25.711,48409,25.299,0.9839757302321964,OK,False,False
48003,48,25.711,48203,25.249,0.9820310372992105,OK,True,False
48003,48,25.711,48231,26.251,1.0210026836762476,OK,True,False
48045,48,1.682,48435,1.684,1.0011890606420928,OK,True,True
48045,48,1.682,48267,1.667,0.9910820451843044,OK,False,True
48045,48,1.682,48011,1.625,0.9661117717003568,OK,True,True
48067,48,9.042,48179,9.014,0.9969033399690334,OK,True,False
48067,48,9.042,48279,9.288,1.0272063702720637,OK,True,False
48067,48,9.042,48407,9.342,1.033178500331785,OK,True,False
48075,48,2.276,48043,2.246,0.9868189806678384,OK,True,False
48075,48,2.276,48153,2.315,1.0171353251318103,OK,False,False
48075,48,2.276,48319,2.215,0.9731985940246046,OK,False,False
48103,48,9.016,48179,9.014,0.9997781721384205,OK,True,True
48103,48,9.016,48279,9.288,1.0301685891748005,OK,True,True
48103,48,9.016,48407,9.342,1.0361579414374447,OK,True,True
48109,48,3.268,48431,3.25,0.9944920440636476,OK,False,True
48109,48,3.268,48087,3.289,1.0064259485924114,OK,False,True
48109,48,3.268,48083,3.324,1.0171358629130967,OK,False,True
48125,48,2.047,48237,2.045,0.9990229604298974,OK,True,True
48125,48,2.047,48433,2.044,0.9985344406448461,OK,False,True
48125,48,2.047,48391,2.084,1.0180752320468978,OK,True,True
48135,48,46.39,48071,43.814,0.9444707911187756,OK,True,True
48135,48,46.39,48251,49.309,1.0629230437594308,OK,True,True
48135,48,46.39,48091,43.633,0.940569088165553,OK,True,True
48139,48,35.068,48181,35.513,1.012689631572944,OK,True,True
48139,48,35.068,48123,33.731,0.9618740732291549,OK,False,True
48139,48,35.068,48397,33.323,0.9502395346184557,OK,True,True
48173,48,0.312,48447,0.353,1.1314102564102564,OK,True,True
48173,48,0.312,48261,0.198,0.6346153846153847,OK,False,True
48173,48,0.312,48311,0.18,0.5769230769230769,OK,True,True
48221,48,22.765,48365,21.146,0.9288820557873929,OK,True,True
48221,48,22.765,48473,20.981,0.9216340874148913,OK,True,True
48221,48,22.765,48165,24.966,1.0966835053810675,OK,False,True
48275,48,1.351,48107,1.366,1.0111028867505552,OK,True,False
48275,48,1.351,48359,1.333,0.9866765358993338,OK,False,False
