treated_fips,state,division,tier,n_ctrl,cagr_treated,cagr_ctrl_mean,effect
01071,01,East South Central,CENSUS_TRUST,3,0.0310137343429051,0.08097872151229793,-0.04996498716939283
01075,01,East South Central,PRIMARY,3,0.0477628516388928,0.08097872151229793,-0.03321586987340513
01089,01,East South Central,CENSUS_TRUST,3,0.0998634789538377,0.08218085429573106,0.017682624658106633
04013,04,Mountain,CENSUS_TRUST,3,0.0422341779583521,0.050370039364486835,-0.008135861406134738
08085,08,Mountain,PRIMARY,3,0.0590433803579444,0.030374910390924933,0.02866846996701947
13075,13,South Atlantic,CENSUS_TRUST,3,0.2051917187756515,0.0354191480397013,0.1697725707359502
13097,13,South Atlantic,CENSUS_TRUST,3,0.1596308777857558,0.05974552711362937,0.09988535067212642
13121,13,South Atlantic,PRIMARY,3,0.045981498106876,0.0608025905732012,-0.014821092466325202
13145,13,South Atlantic,PRIMARY,3,0.1196383930799704,0.0707401268462497,0.048898266233720705
13157,13,South Atlantic,PRIMARY,3,0.0848152844687459,0.05974552711362937,0.025069757355116525
13217,13,South Atlantic,CENSUS_TRUST,3,0.0808412177908799,0.05974552711362937,0.021095690677250527
13285,13,South Atlantic,PRIMARY,3,0.0469703699569334,0.05974552711362937,-0.012775157156695971
13303,13,South Atlantic,PRIMARY,3,0.0044943120437488,0.0707401268462497,-0.0662458148025009
13313,13,South Atlantic,CENSUS_TRUST,3,0.0315517143676649,0.05974552711362937,-0.02819381274596447
13317,13,South Atlantic,PRIMARY,3,-0.0020121629265054,0.0354191480397013,-0.0374313109662067
16001,16,Mountain,CENSUS_TRUST,3,0.0537689697282894,0.05249002762329977,0.0012789421049896332
17037,17,East North Central,CENSUS_TRUST,3,0.0166114897806881,0.02843931403215283,-0.011827824251464728
18127,18,East North Central,CENSUS_TRUST,3,0.0420825697141147,0.033408019341378735,0.008674550372735963
18141,18,East North Central,CENSUS_TRUST,3,0.0316337052518715,2.0823666526129103e-05,0.03161288158534537
19049,19,West North Central,PRIMARY,3,0.0545986758790983,0.016613245385232667,0.03798543049386563
19075,19,West North Central,CENSUS_TRUST,3,0.0620807784998489,0.025497658520403668,0.03658311997944523
19083,19,West North Central,EXPANDED,3,0.0404283835561254,0.025497658520403668,0.014930725035721733
19153,19,West North Central,PRIMARY,3,0.045967946795312,0.016613245385232667,0.029354701410079332
19155,19,West North Central,PRIMARY,3,0.0184147082114238,0.016613245385232667,0.001801462826191133
