county_fips,name,state,dc_class,treated_by_2022,oil_confound,mw_latest,dc_share_mid,pt_2017_final,pt_2022_final,fy_base,fy_post,pt_cagr_pct,src_2017_final,src_2022_final,qc_census_verified,pt_both_final
21127,Lawrence County,KY,crypto,False,False,250.0,191.01466992665036,0.966,1.069,2017.0,2022.0,2.0469703942400663,census,census,no_verified_check,True
41049,Morrow County,OR,clean_dc,True,False,1004.2,185.57120153749491,8.703375,15.584457,2017.0,2024.0,8.678447439028592,verified,verified,FLAG_disagree,True
48125,Dickens County,TX,crypto,True,False,180.0,181.12296236667336,2.062164,3.667931,2017.0,2024.0,8.574610355762214,verified,verified,validated_ok,True
32029,Storey County,NV,clean_dc,True,False,602.7096,176.0352824347217,11.814771,22.769019,2016.0,2023.0,9.825380320203546,verified,verified,no_verified_check,True
48331,Milam County,TX,crypto,True,False,1192.0,156.77197043427938,13.411,5.789,2017.0,2022.0,-15.466572668359058,census,census,no_verified_check,True
38021,Dickey County,ND,crypto,False,False,440.0,145.29124290054153,3.816,3.896,2017.0,2022.0,0.4158147644198307,census,census,no_verified_check,True
37069,Franklin County,NC,crypto,True,False,500.0,131.23359580052494,46.788595,62.687638,2017.0,2023.0,4.996216663631015,verified,verified,FLAG_disagree,True
13075,Cook County,GA,crypto,True,False,270.0,122.4600870827286,4.452,5.143,2017.0,2022.0,2.927701302898078,census,census,no_verified_check,True
48275,Knox County,TX,clean_dc,False,False,166.0,114.81532715451654,1.697,2.083,2017.0,2022.0,4.18410986500708,TX_Comptroller,TX_Comptroller,no_verified_check,True
41013,Crook County,OR,clean_dc,True,False,404.04,81.23366440146368,7.87,13.479167,2017.0,2023.0,9.382552490653406,verified,verified,validated_ok,True
48103,Crane County,TX,crypto,False,True,280.0,73.80851961197807,9.016,9.826,2017.0,2022.0,1.7355111262684186,census,census,no_verified_check,True
40097,Mayes County,OK,clean_dc,True,False,329.775,55.519546112663726,0.0,0.0,2017.0,2022.0,,census,census,no_verified_check,False
53051,Pend Oreille County,WA,crypto,False,False,100.0,52.76487969607429,3.91,4.631,2017.0,2022.0,3.4426421214716063,census,census,no_verified_check,True
13303,Washington County,GA,crypto,True,False,222.0,52.25004707211448,8.591426,8.82572,2017.0,2023.0,0.4494312043748838,verified,verified,validated_ok,True
48475,Ward County,TX,mixed,True,True,423.0,51.25160539898708,18.07,35.327,2017.0,2022.0,14.348302305881088,census,census,no_verified_check,True
35061,Valencia County,NM,clean_dc,True,False,414.0,48.91535516801361,12.454975,17.821608,2017.0,2024.0,5.251706659952982,verified,verified,validated_ok,True
51117,Mecklenburg County,VA,clean_dc,True,False,316.082,48.65045405571803,29.706,97.91,2017.0,2022.0,26.939439035797676,census,census,no_verified_check,True
48371,Pecos County,TX,mixed,True,True,497.0,47.20834362354908,19.866,26.747,2017.0,2022.0,6.1287207336435445,census,census,no_verified_check,True
41059,Umatilla County,OR,clean_dc,True,False,795.4396,45.25354147939968,16.411367,22.713457,2017.0,2023.0,5.565760387684704,verified,verified,validated_ok,True
21157,Marshall County,KY,mixed,True,False,195.0,43.10344827586207,4.418,6.747,2017.0,2022.0,8.837109618309613,census,census,no_verified_check,True
48173,Glasscock County,TX,crypto,True,True,200.0,37.642098923435974,0.312,9.944,2017.0,2022.0,99.83948614947809,census,census,no_verified_check,True
13317,Wilkes County,GA,crypto,True,False,82.0,37.01029066618523,4.951787,4.88246,2017.0,2024.0,-0.2012162926505412,verified,verified,FLAG_disagree,True
48045,Briscoe County,TX,clean_dc,False,False,50.0,36.69455452810803,1.109,2.698,2017.0,2022.0,19.45988156352012,TX_Comptroller,TX_Comptroller,no_verified_check,True
53025,Grant County,WA,mixed,True,False,748.029885,36.11437782434051,26.42,30.78,2017.0,2022.0,3.102016741141611,census,census,no_verified_check,True
37039,Cherokee County,NC,mixed,True,False,134.0,34.48808359499665,18.47411,21.790492,2017.0,2022.0,3.357192060505265,verified,verified,validated_ok,True
47121,Meigs County,TN,crypto,True,False,20.0,27.647221454243848,3.051515,3.530208,2018.0,2024.0,2.4583751506091156,verified,verified,no_verified_check,True
38093,Stutsman County,ND,crypto,True,False,138.0,26.83050122487071,9.529,9.398,2017.0,2022.0,-0.27647469651407297,census,census,no_verified_check,True
48075,Childress County,TX,crypto,False,False,45.0,26.533018867924525,2.85,3.087,2017.0,2022.0,1.610445127782878,TX_Comptroller,TX_Comptroller,no_verified_check,True
38105,Williams County,ND,mixed,True,False,480.0,26.3840640253287,14.133,16.213,2017.0,2022.0,2.784068591921418,census,census,no_verified_check,True
54047,McDowell County,WV,crypto,True,False,90.0,25.948564179448734,3.961493,3.779836,2017.0,2024.0,-0.668333110006214,verified,verified,FLAG_disagree,True
47151,Scott County,TN,crypto,True,False,40.0,25.451768897938408,3.936896,5.12553,2017.0,2024.0,3.8410958141415597,verified,verified,FLAG_disagree,True
48349,Navarro County,TX,crypto,False,False,400.0,24.859543578779896,20.553,26.008,2017.0,2022.0,4.820528931085577,census,census,no_verified_check,True
01071,Jackson County,AL,clean_dc,True,False,80.0,23.7093236915417,5.685,4.269,2017.0,2022.0,-5.568011016226116,census,census,no_verified_check,True
40101,Muskogee County,OK,crypto,False,False,200.0,23.515579071134628,6.907,11.404,2017.0,2022.0,10.548677263162665,census,OK_TaxCommission_county_only,no_verified_check,True
41065,Wasco County,OR,clean_dc,True,False,170.14655,22.650569770228177,11.845,10.857,2017.0,2022.0,-1.7268324374386301,census,census,no_verified_check,True
13097,Douglas County,GA,clean_dc,True,False,563.61326,22.06043618828429,46.274,73.533,2017.0,2022.0,9.705663524940423,census,census,no_verified_check,True
39111,Monroe County,OH,crypto,True,False,100.0,20.9564524917222,2.673,9.425,2017.0,2022.0,28.66383145415652,census,census,no_verified_check,True
46119,Sully County,SD,crypto,False,False,30.0,20.764119601328904,2.335215,2.742222,2017.0,2022.0,3.2654751840008434,verified,verified,validated_ok,True
51107,Loudoun County,VA,clean_dc,True,False,4740.8181038,20.52984760214651,1134.525,1745.084,2017.0,2022.0,8.993463459288886,census,census,no_verified_check,True
13313,Whitfield County,GA,crypto,True,False,359.94917499999997,20.040374529541456,26.43,68.133,2017.0,2022.0,20.8515068362807,census,census,no_verified_check,True
39089,Licking County,OH,clean_dc,True,False,782.0,18.301302154030505,27.107,46.318,2017.0,2022.0,11.30986820325215,census,census,no_verified_check,True
19155,Pottawattamie County,IA,clean_dc,True,False,598.5008,17.399290656433514,44.891722,50.085757,2017.0,2023.0,1.841470821142388,verified,verified,validated_ok,True
48109,Culberson County,TX,crypto,False,False,63.0,17.295338494481964,3.268,3.927,2017.0,2022.0,3.7422757469811163,census,census,no_verified_check,True
37161,Rutherford County,NC,mixed,True,False,170.0,17.175881021661816,41.522825,56.044006,2017.0,2024.0,4.377295488628885,verified,verified,validated_ok,True
48221,Hood County,TX,crypto,True,False,320.7,16.820871097683785,22.765,30.109,2017.0,2022.0,5.751305003369911,census,census,no_verified_check,True
18153,Sullivan County,IN,crypto,True,False,115.0,16.203573240151044,6.834,7.848,2017.0,2022.0,2.805607551744038,IN_DLGF_certified_levy,census,no_verified_check,True
21109,Jackson County,KY,crypto,True,False,9.0909091,14.762762422864563,0.291,0.354,2017.0,2022.0,3.9972977031825563,census,census,no_verified_check,True
56021,Laramie County,WY,mixed,True,False,232.2,14.169422849262238,13.255815,27.95268,2017.0,2024.0,11.246958323927881,verified,verified,FLAG_disagree,True
37027,Caldwell County,NC,clean_dc,True,False,158.0,13.420082558988907,46.110069,59.018289,2017.0,2023.0,4.19938133683686,verified,verified,validated_ok,True
31153,Sarpy County,NE,clean_dc,True,False,578.289,12.193604298100604,38.999,51.796,2017.0,2022.0,5.839687821957118,census,census,no_verified_check,True
13217,Newton County,GA,clean_dc,True,False,200.0,11.777869383428538,33.011,50.755,2017.0,2022.0,8.984322889586437,census,census,no_verified_check,True
53017,Douglas County,WA,mixed,True,False,84.81,11.604455147501504,11.621,14.053,2017.0,2022.0,3.8735821977850193,census,census,no_verified_check,True
51153,Prince William County,VA,clean_dc,True,False,1760.0950428,11.15486581167547,780.642,1233.906,2017.0,2024.0,6.7589537360961405,verified,verified,validated_ok,True
45015,Berkeley County,SC,clean_dc,True,False,375.0104666,10.8133258728273,28.773,31.342,2017.0,2022.0,1.7251437210224374,census,census,no_verified_check,True
30003,Big Horn County,MT,crypto,True,False,37.0,10.392674568844448,9.91,15.189,2017.0,2022.0,8.915855111420989,census,census,no_verified_check,True
19181,Warren County,IA,clean_dc,False,False,140.0,10.357174562779274,13.175,15.853,2017.0,2022.0,3.770083727650797,census,census,no_verified_check,True
01089,Madison County,AL,clean_dc,True,False,440.35,9.907528236511723,48.58,61.708,2017.0,2022.0,4.900314941844863,census,census,no_verified_check,True
47173,Union County,TN,crypto,True,False,9.0909091,9.593614499788938,4.595064,7.140748,2018.0,2024.0,7.6238912586442,verified,verified,no_verified_check,True
42007,Beaver County,PA,crypto,False,False,400.0,9.338332453973694,48.172,59.111,2017.0,2022.0,4.177690589639971,census,census,no_verified_check,True
42121,Venango County,PA,crypto,True,False,90.0,9.1552734375,11.10825,11.287755,2017.0,2022.0,0.32112318648751526,verified,verified,validated_ok,True
17037,DeKalb County,IL,clean_dc,False,False,379.2,9.12095365920538,24.072,27.749,2017.0,2022.0,2.883808516761044,census,census,no_verified_check,True
47035,Cumberland County,TN,crypto,False,False,40.0,8.673779165582445,13.911919,23.599891,2018.0,2024.0,9.20784220143338,verified,verified,no_verified_check,True
30093,Silver Bow County,MT,mixed,True,False,75.0,8.585557946792436,30.407258,36.516814,2017.0,2024.0,2.650099420953289,verified,verified,no_verified_check,True
21035,Calloway County,KY,mixed,True,False,35.0,8.459827902929517,2.965,3.667,2017.0,2022.0,4.341540040732106,census,census,no_verified_check,True
