treated_fips,state,division,n_ctrl,outcome_treated,outcome_ctrl_mean,effect
01071,01,East South Central,3,-24.90765171503957,28.01690624660132,-52.924557961640886
01075,01,East South Central,3,26.27430373095112,28.01690624660132,-1.7426025156501979
01089,01,East South Central,3,27.023466447097565,27.91407849296304,-0.890612045865474
04013,04,Mountain,3,30.927972419562664,24.51342894139822,6.414543478164443
08085,08,Mountain,3,12.422132649322103,41.91119470109732,-29.48906205177522
13075,13,South Atlantic,3,15.521114106019771,14.624706801040746,0.8964073049790251
13097,13,South Atlantic,3,58.90781000129663,40.988356014267744,17.919453987028888
13121,13,South Atlantic,3,33.94615418058369,39.915008480636764,-5.968854300053074
13145,13,South Atlantic,3,92.74684136640148,31.63974233213771,61.10709903426377
13157,13,South Atlantic,3,29.634724685950097,40.988356014267744,-11.353631328317647
13217,13,South Atlantic,3,53.7517797097937,40.988356014267744,12.763423695525958
13285,13,South Atlantic,3,32.88564349980441,40.988356014267744,-8.102712514463335
13303,13,South Atlantic,3,7.0246499247772265,31.63974233213771,-24.615092407360486
13313,13,South Atlantic,3,157.7866061293984,40.988356014267744,116.79825011513066
13317,13,South Atlantic,3,9.359494812810109,14.624706801040746,-5.265211988230638
16001,16,Mountain,3,26.943459701924468,19.4787169137431,7.464742788181368
17037,17,East North Central,3,15.275008308408111,130.7758255617442,-115.5008172533361
18127,18,East North Central,3,21.78893683797569,1.4938459258520354,20.295090912123655
18141,18,East North Central,3,12.62577314137694,73.32638913494,-60.70061599356306
19049,19,West North Central,3,11.557012585726124,15.238839870463119,-3.681827284736995
19075,19,West North Central,3,31.36578278241917,21.078660068843302,10.287122713575869
19083,19,West North Central,3,34.17072208338814,21.0786600688433,13.092062014544844
19153,19,West North Central,3,28.116016647359167,15.238839870463119,12.877176776896048
19155,19,West North Central,3,18.40630885122412,15.238839870463119,3.1674689807610026
19181,19,West North Central,3,20.32637571157494,15.238839870463119,5.087535841111821
26027,26,East North Central,3,16.3665524531603,129.39531355189374,-113.02876109873344
28089,28,East South Central,3,22.48820397385394,12.025102881810184,10.463101092043754
31019,31,West North Central,3,26.751551189245102,-26.074565087253152,52.826116276498254
31081,31,West North Central,3,50.191675794085434,-36.58740761000821,86.77908340409365
