county_fips,name,state,mw_latest,mw_peak,elec_total_mwh,population,dc_mwh,dc_mwh_low,dc_mwh_high,power_share,power_share_low,power_share_high,prop_tax_2017_M,dc_share_mid
48125,Dickens County,TX,180.0,180.0,33315.36860860975,2237.0,1655640.0,1170774.0000000002,2144448.0,4969.59832397631,3514.2159576689633,6436.813067245506,4.969,181.12296236667336
41049,Morrow County,OR,1004.2,1004.2,202692.04122541443,11207.0,9236631.6,6531618.060000001,11963637.120000001,4556.977937642808,3222.4343987617003,5902.371423994494,27.057,185.57120153749491
32029,Storey County,NV,602.7096,602.7096,123154.76895772544,3941.0,5543722.900799999,3920204.0512800002,7180441.09056,4501.427713857316,3183.1524547991025,5830.420657948524,17.119,176.0352824347217
38021,Dickey County,ND,440.0,440.0,108053.30979778573,5160.0,4047120.0,2861892.0,5241984.0,3745.484527566906,2648.5926302080265,4851.2942452295165,15.142,145.29124290054153
48331,Milam County,TX,1192.0,1192.0,302849.74339563854,24372.0,10964016.0,7753125.600000001,14201011.200000001,3620.282413670983,2560.0568496673377,4689.1276977071775,38.017,156.77197043427938
48173,Glasscock County,TX,200.0,200.0,54108.31489970835,1253.0,1839600.0,1300860.0000000002,2382720.0,3399.8471462468624,2404.177624845996,4403.61154180546,26.566,37.642098923435974
48275,Knox County,TX,166.0,166.0,46613.89318394124,3807.0,1526867.9999999998,1079713.8000000003,1977657.6,3275.5642056647926,2316.2918311486756,4242.635542575351,7.229,114.81532715451654
48103,Crane County,TX,280.0,280.0,82402.33013534962,4823.0,2575440.0,1821204.0000000002,3335808.0,3125.4455981641795,2210.1365301303845,4048.196203336461,18.968,73.80851961197807
48109,Culberson County,TX,63.0,63.0,23281.84185933447,2259.0,579474.0,409770.9,750556.8,2488.952564410919,1760.0450276905783,3223.7861786655712,18.213,17.295338494481964
48371,Pecos County,TX,497.0,497.0,221130.8398784198,15826.0,4571406.0,3232637.1,5921059.2,2067.2855954933334,1461.8662425274285,2677.6270570199363,52.639,47.20834362354908
41013,Crook County,OR,404.04,404.04,238567.9571170207,21334.0,3716359.9200000004,2627997.372000001,4813570.944000001,1557.7783223323145,1101.5718136492796,2017.6938270209027,24.869,81.23366440146368
48045,Briscoe County,TX,50.0,50.0,32121.666916947004,1672.0,459900.0,325215.00000000006,595680.0,1431.7438792610178,1012.4474574774342,1854.449215042842,6.813,36.69455452810803
