county_fips,n_dc_by2022,n_crypto,dc_class
47151,1,1,crypto
47157,5,0,clean_dc
47173,1,1,crypto
47177,1,0,clean_dc
47187,6,0,clean_dc
48003,2,2,crypto
48027,1,0,clean_dc
48029,15,0,clean_dc
48067,1,1,crypto
48085,17,0,clean_dc
48113,54,0,clean_dc
48121,6,1,mixed
48125,1,1,crypto
48135,1,1,crypto
48139,3,0,clean_dc
48173,1,1,crypto
48201,11,0,clean_dc
48215,3,0,clean_dc
48221,1,1,crypto
48309,1,0,clean_dc
48325,1,0,clean_dc
48329,1,1,crypto
48331,2,2,crypto
48339,3,0,clean_dc
48347,1,0,clean_dc
48371,1,1,crypto
48381,1,1,crypto
48389,1,1,crypto
48439,10,0,clean_dc
48441,1,1,crypto
48453,14,0,clean_dc
48461,1,1,crypto
48475,2,2,crypto
48479,1,0,clean_dc
49035,11,0,clean_dc
49049,6,0,clean_dc
49053,1,0,clean_dc
50007,2,0,clean_dc
51041,1,0,clean_dc
51047,7,0,clean_dc
51059,22,0,clean_dc
51061,4,0,clean_dc
51069,1,0,clean_dc
51085,2,0,clean_dc
51087,9,0,clean_dc
51107,145,0,clean_dc
51117,15,0,clean_dc
51153,38,0,clean_dc
51161,1,0,clean_dc
51193,1,0,clean_dc
51660,2,0,clean_dc
51683,1,0,clean_dc
51710,1,0,clean_dc
53007,1,1,crypto
53017,6,2,mixed
53025,23,0,clean_dc
53033,12,0,clean_dc
53053,2,0,clean_dc
53061,4,0,clean_dc
53063,3,0,clean_dc
53073,1,0,clean_dc
54047,1,1,crypto
55025,5,0,clean_dc
55059,1,0,clean_dc
55079,4,0,clean_dc
56021,6,0,clean_dc
66010,1,0,clean_dc
